Id,Rank,Track,Artist,Streams,Week,Album_name,Explicit,Track_number_on_album,Artist_followers,Artist_genres,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Mode,Key,Valence
https://open.spotify.com/track/06GcodDliPWAYFX2LSFLIu,81,Vertigo,Khalid,7437136,2018-10-26,Suncity,0,2,13736355,"['alternative r&b', 'pop']",0.552,0.48700000000000004,0.45799999999999996,0.0257,0.11699999999999999,-7.761,0.0371,115.98899999999999,0,4,0.207
https://open.spotify.com/track/6gzIcEUuswJQGfJNPYMjjv,96,Hard Work Pays Off,Future,6291947,2018-10-26,Future & Juice WRLD Present... WRLD ON DRUGS,1,16,10104988,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.327,0.736,0.48200000000000004,0.0,0.22899999999999998,-8.242,0.196,140.064,1,4,0.608
https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,59,Imposible,Luis Fonsi,8431792,2019-02-01,Imposible,0,1,9350913,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",0.122,0.7859999999999999,0.764,0.0,0.102,-2.935,0.0798,90.979,1,11,0.9129999999999999
https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,88,New Rules,Dua Lipa,6620839,2019-01-04,Dua Lipa (Complete Edition),0,10,24169380,"['dance pop', 'pop', 'uk pop']",0.0026100000000000003,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,0,9,0.608
https://open.spotify.com/track/2OsDoAzo5SGq10qwmKSQBv,123,Jet Lag (feat. Young Scooter),Future,5492731,2018-10-26,Future & Juice WRLD Present... WRLD ON DRUGS,1,1,10104988,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.266,0.81,0.45799999999999996,0.0,0.174,-7.495,0.105,125.04899999999999,0,4,0.493
https://open.spotify.com/track/3m2aDCqn8eT5ElXDUiboGU,132,Get Dripped (feat. Playboi Carti),Lil Yachty,5245232,2018-10-26,Nuthin' 2 Prove,1,2,7097326,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",0.105,0.95,0.489,0.0,0.41100000000000003,-8.411,0.462,130.02100000000002,1,8,0.919
https://open.spotify.com/track/1gOyBTO1fDLDTH8Ap12Wyp,141,Motion,Khalid,5003165,2018-10-26,Suncity,0,5,13736355,"['alternative r&b', 'pop']",0.096,0.5539999999999999,0.591,0.124,0.58,-7.215,0.0634,80.977,1,0,0.524
https://open.spotify.com/track/3DKpA54hrFIdPN6AtL9HXa,156,I'll Never Love Again - Film Version - Radio Edit,Lady Gaga,4623771,2018-11-02,A Star Is Born Soundtrack (Without Dialogue),0,18,17071866,"['dance pop', 'pop', 'post-teen pop']",0.785,0.45,0.335,1.25e-06,0.0979,-7.4639999999999995,0.0298,109.90799999999999,1,7,0.25
https://open.spotify.com/track/1l9G7M8gNyQsgOGWZGoQsT,174,Look What I Found,Lady Gaga,4461695,2018-10-26,A Star Is Born Soundtrack,0,20,17071866,"['dance pop', 'pop', 'post-teen pop']",0.456,0.8490000000000001,0.493,0.000463,0.133,-4.1,0.0417,97.012,0,1,0.447
https://open.spotify.com/track/2vs5ubqg8QUbfyWZpMfvWe,175,Astronauts,Future,4442837,2018-10-26,Future & Juice WRLD Present... WRLD ON DRUGS,1,2,10104988,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.0402,0.732,0.586,2.66e-06,0.121,-7.867999999999999,0.23199999999999998,76.48,1,1,0.73
https://open.spotify.com/track/6Yocr5JJOjupv71R5uhye5,180,Roli Glitzer Glitzer (feat. Luciano & Eno),Capital Bra,4361757,2018-10-26,Roli Glitzer Glitzer (feat. Luciano & Eno),0,1,3982267,['german hip hop'],0.015,0.8440000000000001,0.7340000000000001,0.0,0.369,-4.931,0.272,154.965,1,1,0.537
https://open.spotify.com/track/4uHscE8VF6F6mKU3ECjIKr,181,Cry Alone,Lil Peep,4345605,2018-10-26,Cry Alone,1,1,6767258,"['emo rap', 'lgbtq+ hip hop']",0.0366,0.637,0.856,0.0308,0.0809,-5.649,0.0337,160.06799999999998,1,1,0.285
https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,183,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,4266286,2018-11-02,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",1,1,157167,"['german hip hop', 'german pop', 'hamburg hip hop']",0.14400000000000002,0.825,0.76,0.0,0.155,-6.591,0.188,89.00299999999999,1,1,0.8759999999999999
